Time,Epochs,Batches,in,Total,Loss
56.78370523452759,1,1,16,1,0.10731666462100603
67.57629990577698,1,2,16,2,0.4388257792130853
78.6661148071289,1,3,16,3,1.141870213490536
90.92727184295654,1,4,16,4,0.7056904719334973
101.27123188972473,1,5,16,5,0.26845993395207585
109.76523399353027,1,6,16,6,0.12458189534589108
115.46639657020569,1,7,16,7,0.1288489573433515
122.46879935264587,1,8,16,8,0.18346137441927396
127.48911809921265,1,9,16,9,0.11641924597795425
132.92187571525574,1,10,16,10,0.6247916619961111
138.16800355911255,1,11,16,11,0.08517934294479765
144.48113918304443,1,12,16,12,2.2021600324994
151.25050044059753,1,13,16,13,0.2006670688471261
163.47094011306763,1,14,16,14,0.05803080497526107
174.6086597442627,1,15,16,15,0.12047610704703844
185.68120288848877,1,16,16,16,0.7316692450833061
196.1389021873474,2,1,16,17,0.04647939449302925
209.97079515457153,2,2,16,18,0.2202723590149939
222.75201439857483,2,3,16,19,0.8943437646400626
233.7130913734436,2,4,16,20,0.4168969691628843
245.45183277130127,2,5,16,21,0.19032354576628835
257.19661355018616,2,6,16,22,0.09905570212537441
268.4582259654999,2,7,16,23,0.10584878044461601
278.49221897125244,2,8,16,24,0.12540721439909655
288.80182909965515,2,9,16,25,0.07153458690940877
297.6901183128357,2,10,16,26,0.4832543469992431
309.27055859565735,2,11,16,27,0.043825975553319685
322.2487437725067,2,12,16,28,1.8951631735565002
333.09386253356934,2,13,16,29,0.15758829811485142
344.9299900531769,2,14,16,30,0.043721807116378485
355.49938893318176,2,15,16,31,0.10302920897398041
366.2972478866577,2,16,16,32,0.6553169902339027
378.17910861968994,3,1,16,33,0.035662275995955964
386.4496147632599,3,2,16,34,0.18980078045572263
398.88757133483887,3,3,16,35,0.8316772779913448
409.4620349407196,3,4,16,36,0.3322387658143989
421.3817780017853,3,5,16,37,0.1485102829948174
430.9099714756012,3,6,16,38,0.09511088037172899
441.123690366745,3,7,16,39,0.08766904792103344
450.559161901474,3,8,16,40,0.10966452668848686
460.0352416038513,3,9,16,41,0.07635212643966578
468.5845696926117,3,10,16,42,0.38852784384847344
478.5659592151642,3,11,16,43,0.037354095526968084
489.52554416656494,3,12,16,44,1.697274393258321
500.2632327079773,3,13,16,45,0.1504378892593392
509.40932607650757,3,14,16,46,0.04583459007236407
517.763111114502,3,15,16,47,0.0984595919413992
534.4287247657776,3,16,16,48,0.6132611643050087
1235.9227957725525,1,1,16,49,0.04087688796233005
1246.6361560821533,1,2,16,50,0.19713039127712834
1256.4176769256592,1,3,16,51,0.8583623360902665
1267.4133822917938,1,4,16,52,0.2956350599603004
1276.7982485294342,1,5,16,53,0.14887390907846526
1287.0485243797302,1,6,16,54,0.07084049473118835
1297.1968891620636,1,7,16,55,0.10493354178334968
