Time,Epochs,Batches,in,Total,Loss
52.203917026519775,1,1,16,1,0.5978551750604659
63.72043776512146,1,2,16,2,0.5549449343954735
76.44837069511414,1,3,16,3,0.10648091799151352
87.66876482963562,1,4,16,4,1.3186878309408065
99.02429914474487,1,5,16,5,0.26481305782993936
105.51343250274658,1,6,16,6,0.9452297093313506
112.73692798614502,1,7,16,7,0.35874992111954207
119.81351208686829,1,8,16,8,0.10334064528507457
125.5029456615448,1,9,16,9,0.10950167481921116
131.9340841770172,1,10,16,10,0.21615911029348941
137.4447786808014,1,11,16,11,0.11336914302755619
143.30499482154846,1,12,16,12,0.07416299191946449
150.54646563529968,1,13,16,13,0.5468483384553335
162.93127751350403,1,14,16,14,1.3220049855393912
173.57878994941711,1,15,16,15,0.15933934320970608
184.93178629875183,1,16,16,16,0.19369500624766056
196.06801319122314,2,1,16,17,0.40491009155957775
209.13114619255066,2,2,16,18,0.396798408101532
219.64670491218567,2,3,16,19,0.0690142070060489
229.10836553573608,2,4,16,20,1.0348278942653493
242.10539364814758,2,5,16,21,0.17297003527025928
251.89680814743042,2,6,16,22,0.7181876089691971
264.3383061885834,2,7,16,23,0.2570551119477736
274.55107975006104,2,8,16,24,0.06066063323037098
285.4856297969818,2,9,16,25,0.060828149183724874
294.3732147216797,2,10,16,26,0.12581499446929803
305.9259150028229,2,11,16,27,0.0744676802014931
316.9408106803894,2,12,16,28,0.05567203032323243
327.47631907463074,2,13,16,29,0.4496912852411994
339.4147822856903,2,14,16,30,1.1781251891598625
348.2346622943878,2,15,16,31,0.1266465920901834
361.80942964553833,2,16,16,32,0.16029809892074012
371.57663774490356,3,1,16,33,0.36583095770037877
383.8885772228241,3,2,16,34,0.3244572780468942
394.45771741867065,3,3,16,35,0.06236982562420963
405.70490193367004,3,4,16,36,0.8621434844343673
416.9045674800873,3,5,16,37,0.1553456858058986
425.78246307373047,3,6,16,38,0.5856685911870649
436.76369190216064,3,7,16,39,0.2043216212819363
446.4914085865021,3,8,16,40,0.05782441302061208
457.31121587753296,3,9,16,41,0.06348652299747778
467.3234193325043,3,10,16,42,0.10719633115726859
477.7762007713318,3,11,16,43,0.07517863424569571
488.32879519462585,3,12,16,44,0.05350469782882879
500.52095913887024,3,13,16,45,0.3997515944142191
511.7901203632355,3,14,16,46,1.1050479591790447
521.5157511234283,3,15,16,47,0.09303785779699607
531.9409821033478,3,16,16,48,0.14150554378224278
1233.9660811424255,1,1,16,49,0.33435195262763223
1242.892729997635,1,2,16,50,0.34425297024268375
1253.4187314510345,1,3,16,51,0.05265675385800216
1261.113671541214,1,4,16,52,0.8650527980865155
1271.9358882904053,1,5,16,53,0.1383355939068847
