INFO Fit-7@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-7@16:13:31 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-7@16:13:31 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-7@16:13:31 : Model set to ready.
INFO Fit-7-Epo-1@16:13:34 : Epochs:1, Batches:1, in:7, Total:1, Loss:0.1575
INFO Fit-7-Epo-1@16:13:37 : Epochs:1, Batches:2, in:7, Total:2, Loss:0.0376
INFO Fit-7-Epo-1@16:13:41 : Epochs:1, Batches:3, in:7, Total:3, Loss:3.2217
INFO Fit-7-Epo-1@16:13:44 : Epochs:1, Batches:4, in:7, Total:4, Loss:0.0992
INFO Fit-7-Epo-1@16:13:47 : Epochs:1, Batches:5, in:7, Total:5, Loss:0.0986
INFO Fit-7-Epo-1@16:13:50 : Epochs:1, Batches:6, in:7, Total:6, Loss:0.0393
INFO Fit-7-Epo-1@16:13:53 : Epochs:1, Batches:7, in:7, Total:7, Loss:0.0332
INFO Fit-7-Epo-1@16:13:56 : Epochs:2, Batches:1, in:7, Total:8, Loss:0.0938
INFO Fit-7-Epo-1@16:13:59 : Epochs:2, Batches:2, in:7, Total:9, Loss:0.0584
INFO Fit-7-Epo-1@16:14:02 : Epochs:2, Batches:3, in:7, Total:10, Loss:2.5146
INFO Fit-7-Epo-1@16:14:05 : Epochs:2, Batches:4, in:7, Total:11, Loss:0.0828
INFO Fit-7-Epo-1@16:14:08 : Epochs:2, Batches:5, in:7, Total:12, Loss:0.1261
INFO Fit-7-Epo-1@16:14:11 : Epochs:2, Batches:6, in:7, Total:13, Loss:0.0856
INFO Fit-7-Epo-1@16:14:14 : Epochs:2, Batches:7, in:7, Total:14, Loss:0.0299
INFO Fit-7-Epo-1@16:14:16 : Epochs:3, Batches:1, in:7, Total:15, Loss:0.0497
INFO Fit-7-Epo-1@16:14:20 : Epochs:3, Batches:2, in:7, Total:16, Loss:0.0335
INFO Fit-7-Epo-1@16:14:23 : Epochs:3, Batches:3, in:7, Total:17, Loss:2.4560
INFO Fit-7-Epo-1@16:14:25 : Epochs:3, Batches:4, in:7, Total:18, Loss:0.0345
INFO Fit-7-Epo-1@16:14:28 : Epochs:3, Batches:5, in:7, Total:19, Loss:0.1142
INFO Fit-7-Epo-1@16:14:31 : Epochs:3, Batches:6, in:7, Total:20, Loss:0.0832
INFO Fit-7-Epo-1@16:21:41 : Epochs:3, Batches:7, in:7, Total:21, Loss:0.0337
INFO Fit-7-Epo-1@16:24:02 : Evaluate result: {'Loss': 5.033541838153221}
INFO Fit-7-Epo-2@16:25:15 : Epochs:1, Batches:1, in:7, Total:22, Loss:0.0630
INFO Fit-7-Epo-2@16:25:18 : Epochs:1, Batches:2, in:7, Total:23, Loss:0.0333
INFO Fit-7-Epo-2@16:25:21 : Epochs:1, Batches:3, in:7, Total:24, Loss:1.9603
INFO Fit-7-Epo-2@16:25:25 : Epochs:1, Batches:4, in:7, Total:25, Loss:0.0207
INFO Fit-7-Epo-2@16:25:29 : Epochs:1, Batches:5, in:7, Total:26, Loss:0.0534
INFO Fit-7-Epo-2@16:25:31 : Epochs:1, Batches:6, in:7, Total:27, Loss:0.0359
