INFO Fit-3@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-3@16:13:30 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-3@16:13:30 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-3@16:13:30 : Model set to ready.
INFO Fit-3-Epo-2@16:34:12 : Epochs:1, Batches:4, in:16, Total:52, Loss:0.0934
INFO Fit-3-Epo-2@16:34:19 : Epochs:1, Batches:5, in:16, Total:53, Loss:0.3400
INFO Fit-3-Epo-2@16:34:29 : Epochs:1, Batches:6, in:16, Total:54, Loss:0.0687
INFO Fit-3-Epo-2@16:34:41 : Epochs:1, Batches:7, in:16, Total:55, Loss:0.1211
INFO Fit-3-Epo-2@16:34:51 : Epochs:1, Batches:8, in:16, Total:56, Loss:0.2606
INFO Fit-3-Epo-2@16:35:03 : Epochs:1, Batches:9, in:16, Total:57, Loss:0.1935
INFO Fit-3-Epo-2@16:35:14 : Epochs:1, Batches:10, in:16, Total:58, Loss:1.2133
INFO Fit-3-Epo-2@16:35:24 : Epochs:1, Batches:11, in:16, Total:59, Loss:0.5240
INFO Fit-3-Epo-2@16:35:34 : Epochs:1, Batches:12, in:16, Total:60, Loss:0.1369
INFO Fit-3-Epo-2@16:35:45 : Epochs:1, Batches:13, in:16, Total:61, Loss:0.2832
INFO Fit-3-Epo-2@16:35:55 : Epochs:1, Batches:14, in:16, Total:62, Loss:0.6115
INFO Fit-3-Epo-2@16:36:07 : Epochs:1, Batches:15, in:16, Total:63, Loss:0.0943
INFO Fit-3-Epo-2@16:36:15 : Epochs:1, Batches:16, in:16, Total:64, Loss:0.7386
INFO Fit-3-Epo-2@16:36:27 : Epochs:2, Batches:1, in:16, Total:65, Loss:0.3343
INFO Fit-3-Epo-2@16:36:38 : Epochs:2, Batches:2, in:16, Total:66, Loss:0.1620
INFO Fit-3-Epo-2@16:36:48 : Epochs:2, Batches:3, in:16, Total:67, Loss:0.1377
INFO Fit-3-Epo-2@16:36:57 : Epochs:2, Batches:4, in:16, Total:68, Loss:0.1105
INFO Fit-3-Epo-2@16:37:07 : Epochs:2, Batches:5, in:16, Total:69, Loss:0.2743
INFO Fit-3-Epo-2@16:37:16 : Epochs:2, Batches:6, in:16, Total:70, Loss:0.0981
INFO Fit-3-Epo-2@16:37:25 : Epochs:2, Batches:7, in:16, Total:71, Loss:0.1000
INFO Fit-3-Epo-2@16:37:34 : Epochs:2, Batches:8, in:16, Total:72, Loss:0.2246
INFO Fit-3-Epo-2@16:37:44 : Epochs:2, Batches:9, in:16, Total:73, Loss:0.1689
INFO Fit-3-Epo-2@16:37:55 : Epochs:2, Batches:10, in:16, Total:74, Loss:1.0887
INFO Fit-3-Epo-2@16:38:06 : Epochs:2, Batches:11, in:16, Total:75, Loss:0.4485
INFO Fit-3-Epo-2@16:38:14 : Epochs:2, Batches:12, in:16, Total:76, Loss:0.1137
INFO Fit-3-Epo-2@16:38:20 : Epochs:2, Batches:13, in:16, Total:77, Loss:0.2703
INFO Fit-3-Epo-2@16:38:26 : Epochs:2, Batches:14, in:16, Total:78, Loss:0.5169
INFO Fit-3-Epo-2@16:38:30 : Epochs:2, Batches:15, in:16, Total:79, Loss:0.0879
INFO Fit-3-Epo-2@16:38:35 : Epochs:2, Batches:16, in:16, Total:80, Loss:0.6456
INFO Fit-3-Epo-2@16:38:40 : Epochs:3, Batches:1, in:16, Total:81, Loss:0.2968
INFO Fit-3-Epo-2@16:38:45 : Epochs:3, Batches:2, in:16, Total:82, Loss:0.1725
INFO Fit-3-Epo-2@16:38:50 : Epochs:3, Batches:3, in:16, Total:83, Loss:0.1166
INFO Fit-3-Epo-2@16:38:54 : Epochs:3, Batches:4, in:16, Total:84, Loss:0.0826
INFO Fit-3-Epo-2@16:38:59 : Epochs:3, Batches:5, in:16, Total:85, Loss:0.2294
INFO Fit-3-Epo-2@16:39:03 : Epochs:3, Batches:6, in:16, Total:86, Loss:0.0901
INFO Fit-3-Epo-2@16:39:09 : Epochs:3, Batches:7, in:16, Total:87, Loss:0.0919
