Time,Epochs,Batches,in,Total,Loss
57.03541350364685,1,1,16,1,0.2575765464528877
70.75612044334412,1,2,16,2,0.23835394830398993
84.18757224082947,1,3,16,3,0.10144259895420299
91.79013586044312,1,4,16,4,1.0126785244474843
101.92357802391052,1,5,16,5,0.36073423314579506
110.50937604904175,1,6,16,6,0.242241333019586
117.0957088470459,1,7,16,7,0.16159327435203238
124.30282402038574,1,8,16,8,0.2414245456677494
128.99155163764954,1,9,16,9,0.12537976222160874
134.29106163978577,1,10,16,10,0.46035691587465594
139.20326709747314,1,11,16,11,0.0760735914098435
144.33347749710083,1,12,16,12,0.10431494560316185
151.0468680858612,1,13,16,13,0.5692143482230929
164.35263776779175,1,14,16,14,0.7981114182691121
176.3724434375763,1,15,16,15,1.1757228768556744
188.32298636436462,1,16,16,16,0.21233302892400058
199.67146229743958,2,1,16,17,0.13277422749865928
210.45221090316772,2,2,16,18,0.21160586118885993
221.94775295257568,2,3,16,19,0.08900767028282264
233.4693546295166,2,4,16,20,0.6394195587417676
245.12494373321533,2,5,16,21,0.24914318022020884
255.10361623764038,2,6,16,22,0.13507454830480695
265.8831343650818,2,7,16,23,0.12462175482547863
277.23744893074036,2,8,16,24,0.1712249452971295
289.2088737487793,2,9,16,25,0.12625479056324002
299.14825892448425,2,10,16,26,0.3266435826513272
310.88823223114014,2,11,16,27,0.059143912754301864
322.8354814052582,2,12,16,28,0.056101999288037975
333.56067848205566,2,13,16,29,0.48315272130427245
341.83350253105164,2,14,16,30,0.7616770271126319
352.89765429496765,2,15,16,31,0.9981178988386259
364.70510697364807,2,16,16,32,0.15087126077261945
375.4644227027893,3,1,16,33,0.12100846521182032
388.63750648498535,3,2,16,34,0.1473396297278248
397.9121263027191,3,3,16,35,0.07033586198043992
409.8696835041046,3,4,16,36,0.5270536317993568
420.2811176776886,3,5,16,37,0.1935186333143077
430.25132632255554,3,6,16,38,0.09474077544081509
440.5017514228821,3,7,16,39,0.10748280194630042
450.8504087924957,3,8,16,40,0.12201340327221458
460.4380269050598,3,9,16,41,0.09785376067583826
468.813928604126,3,10,16,42,0.27612712098146003
479.83354902267456,3,11,16,43,0.05783898358259543
489.36800956726074,3,12,16,44,0.06400777153065672
500.60623812675476,3,13,16,45,0.3979752595717356
510.43036913871765,3,14,16,46,0.6843069900835715
521.6083710193634,3,15,16,47,0.8691290728586416
535.476142168045,3,16,16,48,0.14044003843206138
1238.185863494873,1,1,16,49,0.12737593080296322
1248.3200981616974,1,2,16,50,0.14276265086217105
1258.2189919948578,1,3,16,51,0.059513722191439564
1267.436815738678,1,4,16,52,0.5274716791589025
1275.8231115341187,1,5,16,53,0.18186685972267458
1286.4730398654938,1,6,16,54,0.08929040509023842
1296.0765397548676,1,7,16,55,0.10523429954674582
1306.3136603832245,1,8,16,56,0.12339032434148017
1316.462798833847,1,9,16,57,0.08593015081493008
1326.6660623550415,1,10,16,58,0.2753056854771843
1336.8304989337921,1,11,16,59,0.04813030349393833
1344.5176401138306,1,12,16,60,0.04937982788377836
1352.4568157196045,1,13,16,61,0.38495662282334614
1358.0645868778229,1,14,16,62,0.715787145631136
1366.6715166568756,1,15,16,63,0.8932198671592678
1375.1574902534485,1,16,16,64,0.16693072792761898
1383.4106442928314,2,1,16,65,0.10909573796016098
1393.5854482650757,2,2,16,66,0.12237605713662844
1399.9593741893768,2,3,16,67,0.061058275911977065
1410.740485906601,2,4,16,68,0.45382594466548865
1420.7002429962158,2,5,16,69,0.17152772521733156
1430.9222013950348,2,6,16,70,0.08969333794311062
1439.6920084953308,2,7,16,71,0.09879892443483769
1446.969857931137,2,8,16,72,0.09249023031114828
1457.2170550823212,2,9,16,73,0.10408693583361095
1466.5504214763641,2,10,16,74,0.22304866452940839
1476.560716867447,2,11,16,75,0.04986795888161642
1487.0011615753174,2,12,16,76,0.04645637468958182
1495.7719972133636,2,13,16,77,0.32933588228717514
1500.041939496994,2,14,16,78,0.6222830934819669
1501.681447982788,2,15,16,79,0.8426402989777186
1510.3762528896332,2,16,16,80,0.14126098191853928
1519.1232097148895,3,1,16,81,0.0978809557113946
1525.0940170288086,3,2,16,82,0.11838117348101107
1531.0683948993683,3,3,16,83,0.05434449027966705
1537.1774580478668,3,4,16,84,0.40204169680933977
1542.6590695381165,3,5,16,85,0.15171057929382586
1548.3487768173218,3,6,16,86,0.08239239900575028
1552.6746051311493,3,7,16,87,0.0796294174319901
1556.8442678451538,3,8,16,88,0.07906458271678088
1561.9840297698975,3,9,16,89,0.07670009010041864
1566.3945038318634,3,10,16,90,0.21166027103219137
1571.584766626358,3,11,16,91,0.050083843203961434
1575.9982402324677,3,12,16,92,0.04560236178691325
1580.3898272514343,3,13,16,93,0.3123773194436812
1585.1379210948944,3,14,16,94,0.6079903016291621
1589.5769684314728,3,15,16,95,0.7882820368027414
1617.2368280887604,3,16,16,96,0.12236021074770795
2038.0334570407867,1,1,16,97,0.1250628860264168
2043.5344605445862,1,2,16,98,0.13745439907746093
2048.107640981674,1,3,16,99,0.04876044820566321
2053.0159163475037,1,4,16,100,0.39638262262637924
2057.698805809021,1,5,16,101,0.15625762465393192
2061.342153072357,1,6,16,102,0.07101538974200762
2065.9334976673126,1,7,16,103,0.085358789398324
2070.5172090530396,1,8,16,104,0.0818887257198937
2075.439819097519,1,9,16,105,0.08988047386917958
2080.5106756687164,1,10,16,106,0.17267426848458964
2085.6934378147125,1,11,16,107,0.037522113462352034
2090.9287066459656,1,12,16,108,0.04019133309485558
2095.759058713913,1,13,16,109,0.29397378947151714
2101.473959684372,1,14,16,110,0.5759584130373426
2106.1994440555573,1,15,16,111,0.7370836078439105
2110.773624897003,1,16,16,112,0.1490753492406795
2116.595030069351,2,1,16,113,0.08274758177150347
2121.088235616684,2,2,16,114,0.11603627946333409
2125.9318475723267,2,3,16,115,0.04462414890314197
2131.085539340973,2,4,16,116,0.36006997769083676
2135.746170759201,2,5,16,117,0.1295903408768291
2141.597234725952,2,6,16,118,0.06566799011221038
2146.4101316928864,2,7,16,119,0.08066932228873372
2150.8879058361053,2,8,16,120,0.07604230754409233
2156.126615524292,2,9,16,121,0.08240363927383418
2160.6355962753296,2,10,16,122,0.1725957968517207
2165.124462366104,2,11,16,123,0.04711636859824111
2169.8797821998596,2,12,16,124,0.04882081730554462
2174.0760703086853,2,13,16,125,0.27145482221801365
2179.2991783618927,2,14,16,126,0.5617461347354111
2184.026191473007,2,15,16,127,0.6857684953817966
2188.3597264289856,2,16,16,128,0.14239798003164172
2193.4673886299133,3,1,16,129,0.072630570723457
2198.323121070862,3,2,16,130,0.10988190492332578
2204.0237724781036,3,3,16,131,0.04128110751109859
2208.4653272628784,3,4,16,132,0.342622363405535
2213.177410840988,3,5,16,133,0.12467827791350938
2218.102191209793,3,6,16,134,0.06866130051641156
2222.3792486190796,3,7,16,135,0.080340128827317
2227.2522389888763,3,8,16,136,0.05899727757100472
2231.400676012039,3,9,16,137,0.07517348644143212
2236.1518182754517,3,10,16,138,0.1680338556949808
2240.3465971946716,3,11,16,139,0.039928007711049616
2245.319575071335,3,12,16,140,0.04504929399039116
2250.341688156128,3,13,16,141,0.2597728188526959
2255.425908088684,3,14,16,142,0.5315642220369876
2259.8534574508667,3,15,16,143,0.6864777896489213
2267.9531433582306,3,16,16,144,0.13119758994808586
2693.49116063118,1,1,16,145,0.08640067751289567
2698.8728432655334,1,2,16,146,0.1143280437889613
2702.6391241550446,1,3,16,147,0.04734668243506614
2707.9905276298523,1,4,16,148,0.33703086271604243
2712.8801279067993,1,5,16,149,0.12170805071438005
2717.5755801200867,1,6,16,150,0.06194312172264031
2722.9940888881683,1,7,16,151,0.07414671813160169
2727.900037765503,1,8,16,152,0.06570150004682954
2732.3953058719635,1,9,16,153,0.07335896413829837
2738.200885295868,1,10,16,154,0.16998897520669654
2742.6659240722656,1,11,16,155,0.036220572624801314
2747.4869401454926,1,12,16,156,0.04040279016078037
2752.730873823166,1,13,16,157,0.2454284153553195
2757.5895347595215,1,14,16,158,0.53668286136313
2761.6790277957916,1,15,16,159,0.6491834157738302
2766.420614004135,1,16,16,160,0.11726323702841773
2770.859398126602,2,1,16,161,0.07630348505425687
2775.584128141403,2,2,16,162,0.09736488818425601
2780.950699329376,2,3,16,163,0.04152228490493258
2786.314479112625,2,4,16,164,0.3279130298730287
2791.4218804836273,2,5,16,165,0.1191697279325947
2796.8423268795013,2,6,16,166,0.06723856991418084
2802.4156546592712,2,7,16,167,0.0771969658768695
2807.9658839702606,2,8,16,168,0.05010784181344198
2814.522952079773,2,9,16,169,0.06682293154798134
2818.9037239551544,2,10,16,170,0.1542684042965564
2824.1161992549896,2,11,16,171,0.03734699922449992
2828.92893242836,2,12,16,172,0.05061389754770248
2834.090309381485,2,13,16,173,0.207810286320056
2838.8130145072937,2,14,16,174,0.4946445145353804
2844.146605491638,2,15,16,175,0.6520467049421161
2849.6707344055176,2,16,16,176,0.10574537595400213
2854.640295982361,3,1,16,177,0.07833574822959515
2859.0475776195526,3,2,16,178,0.09610266335400021
2863.597864627838,3,3,16,179,0.045337695435460776
2868.34250998497,3,4,16,180,0.3003003526769553
2873.2774827480316,3,5,16,181,0.09748320315058036
2879.3102691173553,3,6,16,182,0.06115094963490231
2884.99152469635,3,7,16,183,0.06604917357265983
2889.9219374656677,3,8,16,184,0.043034466009166154
2894.6152215003967,3,9,16,185,0.06564757356653819
2898.7005705833435,3,10,16,186,0.13697121032148613
2902.3305790424347,3,11,16,187,0.03842020459909877
2905.89697265625,3,12,16,188,0.04761876630545092
2909.0776777267456,3,13,16,189,0.21730968205025378
2912.130180120468,3,14,16,190,0.46988444994220707
2914.2891545295715,3,15,16,191,0.6246555931414197
2918.3758795261383,3,16,16,192,0.1088452155820505
3349.2911281585693,1,1,16,193,0.07359490838786224
3354.144033908844,1,2,16,194,0.09154658657596715
3359.3218648433685,1,3,16,195,0.04043810684052068
3363.1121435165405,1,4,16,196,0.29173829540325646
3367.6552731990814,1,5,16,197,0.09913481971928735
3371.8485958576202,1,6,16,198,0.056271872428671016
3376.560601234436,1,7,16,199,0.06572023203116857
3380.826110601425,1,8,16,200,0.042690594624863396
3385.2192113399506,1,9,16,201,0.0709240699985528
3389.9016313552856,1,10,16,202,0.15661942444617322
3395.0078644752502,1,11,16,203,0.033207212761431154
3400.5889508724213,1,12,16,204,0.0395738456269398
3405.172078371048,1,13,16,205,0.20427098493903367
3410.5435457229614,1,14,16,206,0.4944044870832557
3415.2807071208954,1,15,16,207,0.6246829038548
3420.8870420455933,1,16,16,208,0.1091588642286822
3425.5600118637085,2,1,16,209,0.07289331177789601
3430.333526611328,2,2,16,210,0.08947165937122924
3434.9660613536835,2,3,16,211,0.03215841252906343
3439.8440084457397,2,4,16,212,0.27353173711190587
3443.5274064540863,2,5,16,213,0.09602881550751753
3448.673375606537,2,6,16,214,0.04896762721885655
3453.0128045082092,2,7,16,215,0.056992728568143344
3457.5483481884003,2,8,16,216,0.04279744688356021
3462.0037367343903,2,9,16,217,0.0651452365209986
3467.0600504875183,2,10,16,218,0.1252888002099785
3471.5300381183624,2,11,16,219,0.03375668831668989
3476.605314731598,2,12,16,220,0.04842415443912594
3481.489014148712,2,13,16,221,0.20704613262916532
3486.70011305809,2,14,16,222,0.4839186002367762
3491.54621052742,2,15,16,223,0.6180668873236608
3495.945102930069,2,16,16,224,0.09565878598238942
3500.3337862491608,3,1,16,225,0.07683370201801679
3504.7356185913086,3,2,16,226,0.08847079906014611
3509.4585762023926,3,3,16,227,0.03592748334270729
3514.1568903923035,3,4,16,228,0.2608455701155288
3519.9328265190125,3,5,16,229,0.09131247830278402
3525.113054037094,3,6,16,230,0.053693778637813154
3529.6247339248657,3,7,16,231,0.06390202490489531
3534.4741072654724,3,8,16,232,0.05088578735643208
3539.252825975418,3,9,16,233,0.06367380052515853
3544.119661808014,3,10,16,234,0.1517192129063643
3548.2495696544647,3,11,16,235,0.03238467107990242
3551.6756131649017,3,12,16,236,0.04307882522978636
3555.2792835235596,3,13,16,237,0.19543766151343564
3557.929331302643,3,14,16,238,0.4869534502234914
3561.3075869083405,3,15,16,239,0.5869473503467144
3570.1798009872437,3,16,16,240,0.09559850255540302
3996.639818429947,1,1,16,241,0.07273612025685039
4001.9247398376465,1,2,16,242,0.09410081441823105
4006.842336654663,1,3,16,243,0.041180424576702124
4011.6562461853027,1,4,16,244,0.2817472157685797
4017.0327599048615,1,5,16,245,0.09012376022759452
4021.927461385727,1,6,16,246,0.054940379594248384
4027.525393009186,1,7,16,247,0.06132232888257369
4032.622983455658,1,8,16,248,0.04315515778528853
4037.9442360401154,1,9,16,249,0.07023273082418349
4043.663311481476,1,10,16,250,0.13223552007530567
4048.274934053421,1,11,16,251,0.030140185895314038
4053.3041577339172,1,12,16,252,0.04222038925818334
4058.1055002212524,1,13,16,253,0.20213797621597768
4063.0747129917145,1,14,16,254,0.4803919301501673
4068.351387023926,1,15,16,255,0.5811409841609352
4073.0951817035675,1,16,16,256,0.09380708565990103
4077.801510810852,2,1,16,257,0.06873216979013816
4082.2898008823395,2,2,16,258,0.08091598719344109
4087.5390300750732,2,3,16,259,0.034004503565124675
4092.6022057533264,2,4,16,260,0.2702251616381995
4097.820104837418,2,5,16,261,0.08979624731597896
4102.761710882187,2,6,16,262,0.058437598863480024
4107.543131113052,2,7,16,263,0.05278312063726543
4112.037364721298,2,8,16,264,0.04300480405119947
4116.928314208984,2,9,16,265,0.05603691174027047
4122.055158138275,2,10,16,266,0.1353165644846822
4127.606666564941,2,11,16,267,0.02648892427295218
4132.1593062877655,2,12,16,268,0.04319521839074413
4136.780352830887,2,13,16,269,0.19886897062808476
4142.44375371933,2,14,16,270,0.468072433936299
4147.252470254898,2,15,16,271,0.6039226661153295
4152.6088881492615,2,16,16,272,0.08653114459585506
4157.553166389465,3,1,16,273,0.07006452626720647
4162.208266019821,3,2,16,274,0.09249378173388279
4167.09872674942,3,3,16,275,0.043073503402190794
4172.580396413803,3,4,16,276,0.2652842283992127
4178.220708608627,3,5,16,277,0.0830357521206101
4182.353616952896,3,6,16,278,0.05716144116392547
4187.089736700058,3,7,16,279,0.05371255001628465
4191.489677667618,3,8,16,280,0.043587134292694146
4194.5937650203705,3,9,16,281,0.062353049128042806
4197.044522047043,3,10,16,282,0.14400500568693836
4199.1695737838745,3,11,16,283,0.02879768036622523
4201.085785150528,3,12,16,284,0.042600112900689865
4204.028708696365,3,13,16,285,0.1941600602678704
4206.470102787018,3,14,16,286,0.43275029198735004
4209.015580415726,3,15,16,287,0.5563595524989251
4212.085433721542,3,16,16,288,0.09175782920636472
4646.815529823303,1,1,16,289,0.06295798481934023
4651.014743089676,1,2,16,290,0.0731642311666847
4656.891391992569,1,3,16,291,0.03711126445616075
4662.615117073059,1,4,16,292,0.27024637005280827
4667.855442047119,1,5,16,293,0.0846969403218392
4672.588158130646,1,6,16,294,0.05161114860458374
4677.390959262848,1,7,16,295,0.053680773948659
4683.10524225235,1,8,16,296,0.03876107153126733
4687.961996555328,1,9,16,297,0.05801829838373436
4692.84955906868,1,10,16,298,0.13093287885582738
4697.620857954025,1,11,16,299,0.026301876120780623
4702.5018191337585,1,12,16,300,0.04313975206597977
4706.952954530716,1,13,16,301,0.19346635533544487
4711.603276729584,1,14,16,302,0.45897324246547927
4716.341491699219,1,15,16,303,0.571837447017462
4721.3401663303375,1,16,16,304,0.0927552586052832
4726.559548377991,2,1,16,305,0.0716060522511269
4731.439631700516,2,2,16,306,0.08250342630749921
4736.569787979126,2,3,16,307,0.04190594933955078
4741.803297281265,2,4,16,308,0.26474705795786735
4747.380045175552,2,5,16,309,0.08493330942736596
4751.768961191177,2,6,16,310,0.0567784564991988
4756.087517738342,2,7,16,311,0.050877754719681464
4760.777857065201,2,8,16,312,0.04014568839333841
4765.664787054062,2,9,16,313,0.06059630481019925
