INFO Fit-4@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-4@16:13:31 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-4@16:13:31 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-4@16:13:31 : Model set to ready.
INFO Fit-4-Epo-1@16:13:43 : Epochs:1, Batches:1, in:16, Total:1, Loss:0.1073
INFO Fit-4-Epo-1@16:13:54 : Epochs:1, Batches:2, in:16, Total:2, Loss:0.4388
INFO Fit-4-Epo-1@16:14:05 : Epochs:1, Batches:3, in:16, Total:3, Loss:1.1419
INFO Fit-4-Epo-1@16:14:17 : Epochs:1, Batches:4, in:16, Total:4, Loss:0.7057
INFO Fit-4-Epo-1@16:14:27 : Epochs:1, Batches:5, in:16, Total:5, Loss:0.2685
INFO Fit-4-Epo-1@16:14:36 : Epochs:1, Batches:6, in:16, Total:6, Loss:0.1246
INFO Fit-4-Epo-1@16:14:42 : Epochs:1, Batches:7, in:16, Total:7, Loss:0.1288
INFO Fit-4-Epo-1@16:14:49 : Epochs:1, Batches:8, in:16, Total:8, Loss:0.1835
INFO Fit-4-Epo-1@16:14:54 : Epochs:1, Batches:9, in:16, Total:9, Loss:0.1164
INFO Fit-4-Epo-1@16:14:59 : Epochs:1, Batches:10, in:16, Total:10, Loss:0.6248
INFO Fit-4-Epo-1@16:15:04 : Epochs:1, Batches:11, in:16, Total:11, Loss:0.0852
INFO Fit-4-Epo-1@16:15:11 : Epochs:1, Batches:12, in:16, Total:12, Loss:2.2022
INFO Fit-4-Epo-1@16:15:17 : Epochs:1, Batches:13, in:16, Total:13, Loss:0.2007
INFO Fit-4-Epo-1@16:15:30 : Epochs:1, Batches:14, in:16, Total:14, Loss:0.0580
INFO Fit-4-Epo-1@16:15:41 : Epochs:1, Batches:15, in:16, Total:15, Loss:0.1205
INFO Fit-4-Epo-1@16:15:52 : Epochs:1, Batches:16, in:16, Total:16, Loss:0.7317
INFO Fit-4-Epo-1@16:16:02 : Epochs:2, Batches:1, in:16, Total:17, Loss:0.0465
INFO Fit-4-Epo-1@16:16:16 : Epochs:2, Batches:2, in:16, Total:18, Loss:0.2203
INFO Fit-4-Epo-1@16:16:29 : Epochs:2, Batches:3, in:16, Total:19, Loss:0.8943
INFO Fit-4-Epo-1@16:16:40 : Epochs:2, Batches:4, in:16, Total:20, Loss:0.4169
INFO Fit-4-Epo-1@16:16:52 : Epochs:2, Batches:5, in:16, Total:21, Loss:0.1903
INFO Fit-4-Epo-1@16:17:03 : Epochs:2, Batches:6, in:16, Total:22, Loss:0.0991
INFO Fit-4-Epo-1@16:17:15 : Epochs:2, Batches:7, in:16, Total:23, Loss:0.1058
INFO Fit-4-Epo-1@16:17:25 : Epochs:2, Batches:8, in:16, Total:24, Loss:0.1254
INFO Fit-4-Epo-1@16:17:35 : Epochs:2, Batches:9, in:16, Total:25, Loss:0.0715
INFO Fit-4-Epo-1@16:17:44 : Epochs:2, Batches:10, in:16, Total:26, Loss:0.4833
INFO Fit-4-Epo-1@16:17:55 : Epochs:2, Batches:11, in:16, Total:27, Loss:0.0438
