INFO Fit-1@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-1@16:13:30 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-1@16:13:31 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-1@16:13:31 : Model set to ready.
INFO Fit-1-Epo-1@16:13:40 : Epochs:1, Batches:1, in:16, Total:1, Loss:0.1534
INFO Fit-1-Epo-1@16:13:52 : Epochs:1, Batches:2, in:16, Total:2, Loss:0.1557
INFO Fit-1-Epo-1@16:14:01 : Epochs:1, Batches:3, in:16, Total:3, Loss:0.2617
INFO Fit-1-Epo-1@16:14:12 : Epochs:1, Batches:4, in:16, Total:4, Loss:1.0173
INFO Fit-1-Epo-1@16:14:23 : Epochs:1, Batches:5, in:16, Total:5, Loss:0.2221
INFO Fit-1-Epo-1@16:14:32 : Epochs:1, Batches:6, in:16, Total:6, Loss:0.0764
INFO Fit-1-Epo-1@16:14:39 : Epochs:1, Batches:7, in:16, Total:7, Loss:0.4228
INFO Fit-1-Epo-1@16:14:44 : Epochs:1, Batches:8, in:16, Total:8, Loss:1.8738
INFO Fit-1-Epo-1@16:14:50 : Epochs:1, Batches:9, in:16, Total:9, Loss:0.0920
INFO Fit-1-Epo-1@16:14:55 : Epochs:1, Batches:10, in:16, Total:10, Loss:3.3981
INFO Fit-1-Epo-1@16:15:01 : Epochs:1, Batches:11, in:16, Total:11, Loss:0.0548
INFO Fit-1-Epo-1@16:15:06 : Epochs:1, Batches:12, in:16, Total:12, Loss:0.0956
INFO Fit-1-Epo-1@16:15:11 : Epochs:1, Batches:13, in:16, Total:13, Loss:0.6398
INFO Fit-1-Epo-1@16:15:17 : Epochs:1, Batches:14, in:16, Total:14, Loss:0.2326
INFO Fit-1-Epo-1@16:15:26 : Epochs:1, Batches:15, in:16, Total:15, Loss:0.3499
INFO Fit-1-Epo-1@16:15:37 : Epochs:1, Batches:16, in:16, Total:16, Loss:0.0707
INFO Fit-1-Epo-1@16:15:48 : Epochs:2, Batches:1, in:16, Total:17, Loss:0.0848
INFO Fit-1-Epo-1@16:16:01 : Epochs:2, Batches:2, in:16, Total:18, Loss:0.1258
INFO Fit-1-Epo-1@16:16:13 : Epochs:2, Batches:3, in:16, Total:19, Loss:0.1449
INFO Fit-1-Epo-1@16:16:24 : Epochs:2, Batches:4, in:16, Total:20, Loss:0.7162
INFO Fit-1-Epo-1@16:16:34 : Epochs:2, Batches:5, in:16, Total:21, Loss:0.1071
INFO Fit-1-Epo-1@16:16:46 : Epochs:2, Batches:6, in:16, Total:22, Loss:0.0570
INFO Fit-1-Epo-1@16:16:57 : Epochs:2, Batches:7, in:16, Total:23, Loss:0.3501
INFO Fit-1-Epo-1@16:17:07 : Epochs:2, Batches:8, in:16, Total:24, Loss:1.6033
INFO Fit-1-Epo-1@16:17:19 : Epochs:2, Batches:9, in:16, Total:25, Loss:0.0718
INFO Fit-1-Epo-1@16:17:30 : Epochs:2, Batches:10, in:16, Total:26, Loss:2.8689
INFO Fit-1-Epo-1@16:17:38 : Epochs:2, Batches:11, in:16, Total:27, Loss:0.0509
INFO Fit-1-Epo-1@16:17:47 : Epochs:2, Batches:12, in:16, Total:28, Loss:0.0614
INFO Fit-1-Epo-1@16:17:57 : Epochs:2, Batches:13, in:16, Total:29, Loss:0.4762
INFO Fit-1-Epo-1@16:18:10 : Epochs:2, Batches:14, in:16, Total:30, Loss:0.1918
INFO Fit-1-Epo-1@16:18:21 : Epochs:2, Batches:15, in:16, Total:31, Loss:0.2713
INFO Fit-1-Epo-1@16:18:33 : Epochs:2, Batches:16, in:16, Total:32, Loss:0.0444
