INFO Fit-2@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-2@16:13:31 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-2@16:13:31 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-2@16:13:31 : Model set to ready.
INFO Fit-2-Epo-1@16:13:42 : Epochs:1, Batches:1, in:16, Total:1, Loss:0.2576
INFO Fit-2-Epo-1@16:13:56 : Epochs:1, Batches:2, in:16, Total:2, Loss:0.2384
INFO Fit-2-Epo-1@16:14:09 : Epochs:1, Batches:3, in:16, Total:3, Loss:0.1014
INFO Fit-2-Epo-1@16:14:17 : Epochs:1, Batches:4, in:16, Total:4, Loss:1.0127
INFO Fit-2-Epo-1@16:14:27 : Epochs:1, Batches:5, in:16, Total:5, Loss:0.3607
INFO Fit-2-Epo-1@16:14:36 : Epochs:1, Batches:6, in:16, Total:6, Loss:0.2422
INFO Fit-2-Epo-1@16:14:42 : Epochs:1, Batches:7, in:16, Total:7, Loss:0.1616
INFO Fit-2-Epo-1@16:14:49 : Epochs:1, Batches:8, in:16, Total:8, Loss:0.2414
INFO Fit-2-Epo-1@16:14:54 : Epochs:1, Batches:9, in:16, Total:9, Loss:0.1254
INFO Fit-2-Epo-1@16:14:59 : Epochs:1, Batches:10, in:16, Total:10, Loss:0.4604
INFO Fit-2-Epo-1@16:15:04 : Epochs:1, Batches:11, in:16, Total:11, Loss:0.0761
