INFO Fit-0@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-0@16:13:31 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-0@16:13:31 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-0@16:13:31 : Model set to ready.
INFO Fit-0-Epo-1@16:13:43 : Epochs:1, Batches:1, in:16, Total:1, Loss:0.2154
INFO Fit-0-Epo-1@16:13:55 : Epochs:1, Batches:2, in:16, Total:2, Loss:0.3742
INFO Fit-0-Epo-1@16:14:05 : Epochs:1, Batches:3, in:16, Total:3, Loss:2.7174
INFO Fit-0-Epo-1@16:14:16 : Epochs:1, Batches:4, in:16, Total:4, Loss:1.0516
INFO Fit-0-Epo-1@16:14:28 : Epochs:1, Batches:5, in:16, Total:5, Loss:1.0347
INFO Fit-0-Epo-1@16:14:37 : Epochs:1, Batches:6, in:16, Total:6, Loss:0.2517
INFO Fit-0-Epo-1@16:14:43 : Epochs:1, Batches:7, in:16, Total:7, Loss:0.1069
INFO Fit-0-Epo-1@16:14:50 : Epochs:1, Batches:8, in:16, Total:8, Loss:0.1271
INFO Fit-0-Epo-1@16:14:56 : Epochs:1, Batches:9, in:16, Total:9, Loss:0.3201
INFO Fit-0-Epo-1@16:15:02 : Epochs:1, Batches:10, in:16, Total:10, Loss:0.2841
INFO Fit-0-Epo-1@16:15:10 : Epochs:1, Batches:11, in:16, Total:11, Loss:0.2140
INFO Fit-0-Epo-1@16:15:14 : Epochs:1, Batches:12, in:16, Total:12, Loss:0.1811
INFO Fit-0-Epo-1@16:15:23 : Epochs:1, Batches:13, in:16, Total:13, Loss:0.1743
INFO Fit-0-Epo-1@16:15:34 : Epochs:1, Batches:14, in:16, Total:14, Loss:0.0609
INFO Fit-0-Epo-1@16:15:47 : Epochs:1, Batches:15, in:16, Total:15, Loss:0.1670
INFO Fit-0-Epo-1@16:15:59 : Epochs:1, Batches:16, in:16, Total:16, Loss:0.3914
INFO Fit-0-Epo-1@16:16:10 : Epochs:2, Batches:1, in:16, Total:17, Loss:0.0476
INFO Fit-0-Epo-1@16:16:22 : Epochs:2, Batches:2, in:16, Total:18, Loss:0.1358
INFO Fit-0-Epo-1@16:16:30 : Epochs:2, Batches:3, in:16, Total:19, Loss:1.8659
INFO Fit-0-Epo-1@16:16:40 : Epochs:2, Batches:4, in:16, Total:20, Loss:0.6261
INFO Fit-0-Epo-1@16:16:52 : Epochs:2, Batches:5, in:16, Total:21, Loss:0.8108
INFO Fit-0-Epo-1@16:17:03 : Epochs:2, Batches:6, in:16, Total:22, Loss:0.1687
INFO Fit-0-Epo-1@16:17:14 : Epochs:2, Batches:7, in:16, Total:23, Loss:0.1018
INFO Fit-0-Epo-1@16:17:28 : Epochs:2, Batches:8, in:16, Total:24, Loss:0.0677
INFO Fit-0-Epo-1@16:17:40 : Epochs:2, Batches:9, in:16, Total:25, Loss:0.2162
INFO Fit-0-Epo-1@16:17:51 : Epochs:2, Batches:10, in:16, Total:26, Loss:0.2482
INFO Fit-0-Epo-1@16:18:03 : Epochs:2, Batches:11, in:16, Total:27, Loss:0.1721
INFO Fit-0-Epo-1@16:18:14 : Epochs:2, Batches:12, in:16, Total:28, Loss:0.1431
INFO Fit-0-Epo-1@16:18:25 : Epochs:2, Batches:13, in:16, Total:29, Loss:0.1661
INFO Fit-0-Epo-1@16:18:36 : Epochs:2, Batches:14, in:16, Total:30, Loss:0.0749
INFO Fit-0-Epo-1@16:18:46 : Epochs:2, Batches:15, in:16, Total:31, Loss:0.1600
INFO Fit-0-Epo-1@16:18:57 : Epochs:2, Batches:16, in:16, Total:32, Loss:0.2511
INFO Fit-0-Epo-1@16:19:08 : Epochs:3, Batches:1, in:16, Total:33, Loss:0.0516
INFO Fit-0-Epo-1@16:19:19 : Epochs:3, Batches:2, in:16, Total:34, Loss:0.1109
INFO Fit-0-Epo-1@16:19:30 : Epochs:3, Batches:3, in:16, Total:35, Loss:1.5840
INFO Fit-0-Epo-1@16:19:41 : Epochs:3, Batches:4, in:16, Total:36, Loss:0.5169
INFO Fit-0-Epo-1@16:19:49 : Epochs:3, Batches:5, in:16, Total:37, Loss:0.7561
INFO Fit-0-Epo-1@16:19:58 : Epochs:3, Batches:6, in:16, Total:38, Loss:0.1637
INFO Fit-0-Epo-1@16:20:06 : Epochs:3, Batches:7, in:16, Total:39, Loss:0.0961
INFO Fit-0-Epo-1@16:20:18 : Epochs:3, Batches:8, in:16, Total:40, Loss:0.0602
INFO Fit-0-Epo-1@16:20:28 : Epochs:3, Batches:9, in:16, Total:41, Loss:0.1905
INFO Fit-0-Epo-1@16:20:39 : Epochs:3, Batches:10, in:16, Total:42, Loss:0.2052
INFO Fit-0-Epo-1@16:20:48 : Epochs:3, Batches:11, in:16, Total:43, Loss:0.1287
INFO Fit-0-Epo-1@16:20:56 : Epochs:3, Batches:12, in:16, Total:44, Loss:0.1111
INFO Fit-0-Epo-1@16:21:07 : Epochs:3, Batches:13, in:16, Total:45, Loss:0.1539
INFO Fit-0-Epo-1@16:21:17 : Epochs:3, Batches:14, in:16, Total:46, Loss:0.0636
INFO Fit-0-Epo-1@16:21:27 : Epochs:3, Batches:15, in:16, Total:47, Loss:0.1762
INFO Fit-0-Epo-1@16:21:41 : Epochs:3, Batches:16, in:16, Total:48, Loss:0.2675
INFO Fit-0-Epo-1@16:24:05 : Evaluate result: {'Loss': 4.74306989440818}
INFO Fit-0-Epo-2@16:33:23 : Epochs:1, Batches:1, in:16, Total:49, Loss:0.0758
INFO Fit-0-Epo-2@16:33:31 : Epochs:1, Batches:2, in:16, Total:50, Loss:0.1355
INFO Fit-0-Epo-2@16:33:42 : Epochs:1, Batches:3, in:16, Total:51, Loss:1.8158
INFO Fit-0-Epo-2@16:33:52 : Epochs:1, Batches:4, in:16, Total:52, Loss:0.4314
INFO Fit-0-Epo-2@16:34:03 : Epochs:1, Batches:5, in:16, Total:53, Loss:0.7702
INFO Fit-0-Epo-2@16:34:11 : Epochs:1, Batches:6, in:16, Total:54, Loss:0.2195
INFO Fit-0-Epo-2@16:34:22 : Epochs:1, Batches:7, in:16, Total:55, Loss:0.0965
INFO Fit-0-Epo-2@16:34:31 : Epochs:1, Batches:8, in:16, Total:56, Loss:0.0902
INFO Fit-0-Epo-2@16:34:42 : Epochs:1, Batches:9, in:16, Total:57, Loss:0.2053
INFO Fit-0-Epo-2@16:34:53 : Epochs:1, Batches:10, in:16, Total:58, Loss:0.2624
INFO Fit-0-Epo-2@16:35:04 : Epochs:1, Batches:11, in:16, Total:59, Loss:0.1108
INFO Fit-0-Epo-2@16:35:14 : Epochs:1, Batches:12, in:16, Total:60, Loss:0.1376
INFO Fit-0-Epo-2@16:35:25 : Epochs:1, Batches:13, in:16, Total:61, Loss:0.1417
INFO Fit-0-Epo-2@16:35:34 : Epochs:1, Batches:14, in:16, Total:62, Loss:0.0929
INFO Fit-0-Epo-2@16:35:43 : Epochs:1, Batches:15, in:16, Total:63, Loss:0.1653
INFO Fit-0-Epo-2@16:35:51 : Epochs:1, Batches:16, in:16, Total:64, Loss:0.2833
INFO Fit-0-Epo-2@16:36:01 : Epochs:2, Batches:1, in:16, Total:65, Loss:0.0488
INFO Fit-0-Epo-2@16:36:10 : Epochs:2, Batches:2, in:16, Total:66, Loss:0.0756
INFO Fit-0-Epo-2@16:36:20 : Epochs:2, Batches:3, in:16, Total:67, Loss:1.3779
INFO Fit-0-Epo-2@16:36:31 : Epochs:2, Batches:4, in:16, Total:68, Loss:0.3787
INFO Fit-0-Epo-2@16:36:40 : Epochs:2, Batches:5, in:16, Total:69, Loss:0.6886
INFO Fit-0-Epo-2@16:36:49 : Epochs:2, Batches:6, in:16, Total:70, Loss:0.1642
INFO Fit-0-Epo-2@16:36:58 : Epochs:2, Batches:7, in:16, Total:71, Loss:0.1016
INFO Fit-0-Epo-2@16:37:07 : Epochs:2, Batches:8, in:16, Total:72, Loss:0.0867
INFO Fit-0-Epo-2@16:37:17 : Epochs:2, Batches:9, in:16, Total:73, Loss:0.2186
INFO Fit-0-Epo-2@16:37:27 : Epochs:2, Batches:10, in:16, Total:74, Loss:0.2256
INFO Fit-0-Epo-2@16:37:36 : Epochs:2, Batches:11, in:16, Total:75, Loss:0.0948
INFO Fit-0-Epo-2@16:37:44 : Epochs:2, Batches:12, in:16, Total:76, Loss:0.1094
INFO Fit-0-Epo-2@16:37:51 : Epochs:2, Batches:13, in:16, Total:77, Loss:0.1729
INFO Fit-0-Epo-2@16:37:56 : Epochs:2, Batches:14, in:16, Total:78, Loss:0.0686
INFO Fit-0-Epo-2@16:38:04 : Epochs:2, Batches:15, in:16, Total:79, Loss:0.1887
INFO Fit-0-Epo-2@16:38:11 : Epochs:2, Batches:16, in:16, Total:80, Loss:0.3000
INFO Fit-0-Epo-2@16:38:17 : Epochs:3, Batches:1, in:16, Total:81, Loss:0.0348
INFO Fit-0-Epo-2@16:38:23 : Epochs:3, Batches:2, in:16, Total:82, Loss:0.0719
INFO Fit-0-Epo-2@16:38:28 : Epochs:3, Batches:3, in:16, Total:83, Loss:1.2230
INFO Fit-0-Epo-2@16:38:33 : Epochs:3, Batches:4, in:16, Total:84, Loss:0.3294
INFO Fit-0-Epo-2@16:38:38 : Epochs:3, Batches:5, in:16, Total:85, Loss:0.6781
INFO Fit-0-Epo-2@16:38:41 : Epochs:3, Batches:6, in:16, Total:86, Loss:0.1360
INFO Fit-0-Epo-2@16:38:47 : Epochs:3, Batches:7, in:16, Total:87, Loss:0.1108
