Time,Epochs,Batches,in,Total,Loss
56.990572929382324,1,1,16,1,0.6892532028540324
67.32163381576538,1,2,16,2,0.48548708261111706
78.3584315776825,1,3,16,3,0.30815228969654995
89.15379738807678,1,4,16,4,0.1710131908146474
99.00278949737549,1,5,16,5,0.5910065666743318
107.32151651382446,1,6,16,6,0.10776422645485045
114.7369453907013,1,7,16,7,0.1689272497754499
121.38489770889282,1,8,16,8,0.43634112798183394
127.10229182243347,1,9,16,9,0.3845481748459241
132.1442005634308,1,10,16,10,1.5356681991600734
136.69938373565674,1,11,16,11,0.7962082386277118
142.00652694702148,1,12,16,12,0.18745963831991244
146.23703932762146,1,13,16,13,0.4099235718107448
152.28157329559326,1,14,16,14,0.9886977267114114
164.06749773025513,1,15,16,15,0.12843339395167458
173.72382283210754,1,16,16,16,1.1047644894575948
186.20929598808289,2,1,16,17,0.48672844255337044
195.2516212463379,2,2,16,18,0.2669578795108969
207.9319543838501,2,3,16,19,0.2004001161325283
219.8872148990631,2,4,16,20,0.13297744440418746
233.7768771648407,2,5,16,21,0.4153759454303094
246.68338871002197,2,6,16,22,0.0986752778623547
256.3221917152405,2,7,16,23,0.1510552903462451
266.8458790779114,2,8,16,24,0.3265937024964216
278.00696301460266,2,9,16,25,0.23750255311915208
287.055166721344,2,10,16,26,1.3386344649622532
299.15708231925964,2,11,16,27,0.5569558521467258
311.11136841773987,2,12,16,28,0.15319475565230367
323.1941394805908,2,13,16,29,0.3303775202469388
335.802485704422,2,14,16,30,0.7016695116801961
347.7547059059143,2,15,16,31,0.09951877144984365
360.2884953022003,2,16,16,32,0.888992182356975
372.312392950058,3,1,16,33,0.38133762162813645
382.0560667514801,3,2,16,34,0.2106157791768724
393.133474111557,3,3,16,35,0.14501396563536084
403.9174454212189,3,4,16,36,0.09797925944980074
416.3620674610138,3,5,16,37,0.3149034542621738
428.2084426879883,3,6,16,38,0.09060703850245508
439.7315728664398,3,7,16,39,0.11409866112334156
452.33068442344666,3,8,16,40,0.2749842420189888
460.5591254234314,3,9,16,41,0.23444398411855583
470.82894587516785,3,10,16,42,1.213628146107946
481.0793342590332,3,11,16,43,0.5331608883808868
490.96423840522766,3,12,16,44,0.13375412176795742
501.88022685050964,3,13,16,45,0.3042192499849345
514.67245054245,3,14,16,46,0.6220158598543297
525.9425618648529,3,15,16,47,0.10769341750279862
535.502206325531,3,16,16,48,0.7338001997414764
1256.0953731536865,1,1,16,49,0.39574827199529633
1265.567922115326,1,2,16,50,0.20323999581874008
1275.4770097732544,1,3,16,51,0.1485204228451842
1286.705536365509,1,4,16,52,0.09342348772329852
1294.2143762111664,1,5,16,53,0.3399641401726599
1303.6204261779785,1,6,16,54,0.06871400087557336
1315.497840642929,1,7,16,55,0.12105767588533636
1326.1743578910828,1,8,16,56,0.26057240703875667
1338.1265859603882,1,9,16,57,0.1935429718584984
1348.505034685135,1,10,16,58,1.2133380152729643
1358.804850101471,1,11,16,59,0.5240353228055198
1368.7458641529083,1,12,16,60,0.1368554292593921
1379.411453485489,1,13,16,61,0.28323660261388933
1389.8806233406067,1,14,16,62,0.6115189185000341
1401.4773526191711,1,15,16,63,0.09427267764802859
1410.3021519184113,1,16,16,64,0.7385573386091473
1422.256445646286,2,1,16,65,0.33426791842822623
1432.5606853961945,2,2,16,66,0.16201683649431678
1442.5867195129395,2,3,16,67,0.13773832075777126
1452.1158826351166,2,4,16,68,0.11051446267246162
1461.4133698940277,2,5,16,69,0.27428832771011863
1470.6772811412811,2,6,16,70,0.09812506634294724
1480.0204255580902,2,7,16,71,0.0999654707215528
1489.376650094986,2,8,16,72,0.22460969188654845
1499.2788665294647,2,9,16,73,0.16889439538042367
1510.1046006679535,2,10,16,74,1.0887025340680923
1520.683396100998,2,11,16,75,0.4485402080802383
1528.6700279712677,2,12,16,76,0.11369441232090932
1535.3634631633759,2,13,16,77,0.2703256289354303
1540.6245291233063,2,14,16,78,0.5168971301332693
1544.8746557235718,2,15,16,79,0.08789971002875567
1550.1061706542969,2,16,16,80,0.6455834089500812
1554.9945669174194,3,1,16,81,0.2968411049060221
1559.585022687912,3,2,16,82,0.17247745499186626
1564.6495990753174,3,3,16,83,0.11664067421693979
1568.7913537025452,3,4,16,84,0.08263037683828857
1573.6255068778992,3,5,16,85,0.22943448628575633
1578.1888921260834,3,6,16,86,0.0900994249934428
1583.6361334323883,3,7,16,87,0.09187084668731496
1589.168370962143,3,8,16,88,0.2130252904871741
1593.7876148223877,3,9,16,89,0.15855814796768378
1598.7226614952087,3,10,16,90,1.0014673152594424
1602.5924277305603,3,11,16,91,0.3903977267523037
1605.9972298145294,3,12,16,92,0.10755078016719463
1608.845722913742,3,13,16,93,0.23514507148017535
1611.6116390228271,3,14,16,94,0.4231916355666699
1614.6119787693024,3,15,16,95,0.0913514957100457
1617.2618579864502,3,16,16,96,0.5219399467949883
2031.7496814727783,1,1,16,97,0.30522171441719226
2036.969911813736,1,2,16,98,0.16494160970929522
2041.773567199707,1,3,16,99,0.10699716772665921
2045.8744394779205,1,4,16,100,0.08832894505680285
2050.563314437866,1,5,16,101,0.23258079621589295
2055.1986985206604,1,6,16,102,0.08180078074663663
2059.5728516578674,1,7,16,103,0.08123137293472672
2063.667193174362,1,8,16,104,0.23231380760794326
2068.053553581238,1,9,16,105,0.15405313626309033
2072.7223954200745,1,10,16,106,0.9885055045106971
2077.5636620521545,1,11,16,107,0.3787293847979514
2082.2226178646088,1,12,16,108,0.1093915490660694
2086.7478408813477,1,13,16,109,0.22473209653591636
2091.323277950287,1,14,16,110,0.40454023277326806
2096.1690168380737,1,15,16,111,0.08222491084545566
2100.810383081436,1,16,16,112,0.5291649530856994
2105.33065700531,2,1,16,113,0.2593742062099575
2110.4655380249023,2,2,16,114,0.16540883382034327
2115.4972813129425,2,3,16,115,0.09847174390554853
2120.124763250351,2,4,16,116,0.08612012323070092
2125.560074567795,2,5,16,117,0.19486137856157434
2131.096482038498,2,6,16,118,0.07578024253228145
2135.798647403717,2,7,16,119,0.07274303933618625
2140.3585228919983,2,8,16,120,0.18372957009436708
2145.6961858272552,2,9,16,121,0.14677620532027957
2150.590809583664,2,10,16,122,0.8855994933586655
2155.986871242523,2,11,16,123,0.33789117198335905
2161.099210500717,2,12,16,124,0.09985471366430312
2166.845182657242,2,13,16,125,0.21368369347875835
2172.1189568042755,2,14,16,126,0.35589900610618785
2177.832942724228,2,15,16,127,0.0862256272990529
2182.740175962448,2,16,16,128,0.4583307330216532
2187.336036682129,3,1,16,129,0.24063361962190066
2192.255027770996,3,2,16,130,0.15249645778405455
2196.645994901657,3,3,16,131,0.08532203978767458
2201.10613489151,3,4,16,132,0.09095879286751932
2205.076387166977,3,5,16,133,0.18367612510550557
2209.7447607517242,3,6,16,134,0.08658912920629215
2214.6530973911285,3,7,16,135,0.07322261840052402
2220.1993474960327,3,8,16,136,0.1602985710660961
2226.140638589859,3,9,16,137,0.13716933164654108
2231.5745198726654,3,10,16,138,0.8599374789373683
2236.7745757102966,3,11,16,139,0.2939745200650969
2241.947814464569,3,12,16,140,0.08999020216808684
2247.213230609894,3,13,16,141,0.20678435606140522
2252.1728332042694,3,14,16,142,0.35031035369020824
2255.819094657898,3,15,16,143,0.07881572647949098
2267.983248949051,3,16,16,144,0.37932715393279903
2679.8095152378082,1,1,16,145,0.24439836169888318
2684.4527440071106,1,2,16,146,0.13740843296129404
2690.1466002464294,1,3,16,147,0.084628080003217
2695.3625416755676,1,4,16,148,0.08150613152532753
2699.6466586589813,1,5,16,149,0.1936451890994924
2704.345566511154,1,6,16,150,0.09012601887232019
2709.2985734939575,1,7,16,151,0.07656383162914329
2713.7201573848724,1,8,16,152,0.157849326955491
2718.277692556381,1,9,16,153,0.15093154418900975
2723.746235370636,1,10,16,154,0.8617262802415003
2728.1932892799377,1,11,16,155,0.2915435391666602
2733.486307144165,1,12,16,156,0.09475952597007357
2737.311678171158,1,13,16,157,0.17571175314245452
2742.090315580368,1,14,16,158,0.3663408136082313
2745.8420803546906,1,15,16,159,0.06966308648353381
2750.8464715480804,1,16,16,160,0.4210789924161601
2755.671525001526,2,1,16,161,0.2478926132898036
2759.401306629181,2,2,16,162,0.13915114678322882
2763.482819080353,2,3,16,163,0.0792225495482419
2767.8535554409027,2,4,16,164,0.07687146089488667
2772.9627277851105,2,5,16,165,0.15793592114259342
2776.906149864197,2,6,16,166,0.0954425025920865
2781.1245017051697,2,7,16,167,0.07149321706330017
2785.962477684021,2,8,16,168,0.14906728546550285
2790.70343375206,2,9,16,169,0.11817810160291387
2795.629785299301,2,10,16,170,0.7273385258221378
2797.4239950180054,2,11,16,171,0.2357389740183118
2802.1004843711853,2,12,16,172,0.07795194120738855
2806.7631754875183,2,13,16,173,0.19798359237238816
2811.075262069702,2,14,16,174,0.32545103529466923
2814.8903052806854,2,15,16,175,0.06964847644909958
2820.1779062747955,2,16,16,176,0.4092304666116272
2824.778338432312,3,1,16,177,0.21192244279609063
2828.9017231464386,3,2,16,178,0.13774743086527716
2833.57160282135,3,3,16,179,0.08251592927533258
2838.450810432434,3,4,16,180,0.0890275467120405
2843.376595020294,3,5,16,181,0.15425326117809374
2849.563979625702,3,6,16,182,0.08739373888218527
2854.3536291122437,3,7,16,183,0.06580109897191984
2859.996679544449,3,8,16,184,0.1439820525424449
2865.138345718384,3,9,16,185,0.12837870605269386
2869.701449394226,3,10,16,186,0.7022127000977273
2874.6209905147552,3,11,16,187,0.26914328856844666
2879.0636191368103,3,12,16,188,0.07801309480775687
2883.7743430137634,3,13,16,189,0.1732629809391362
2888.732186317444,3,14,16,190,0.2997088369874654
2892.5238597393036,3,15,16,191,0.07035040545267195
2918.4064557552338,3,16,16,192,0.35529260024904696
3317.410335302353,1,1,16,193,0.24198962942631128
3321.9464058876038,1,2,16,194,0.1589159387482679
3326.8745188713074,1,3,16,195,0.0857288644259088
3332.1387786865234,1,4,16,196,0.07584217990471098
3336.7312619686127,1,5,16,197,0.13930444290805938
3341.134665250778,1,6,16,198,0.08717555344797095
3345.9140889644623,1,7,16,199,0.06815580212803625
3350.553537607193,1,8,16,200,0.13516354475865489
3355.360963821411,1,9,16,201,0.11058532460148873
3360.763472557068,1,10,16,202,0.6676307815534118
3366.362807035446,1,11,16,203,0.2516896414125507
3372.126577615738,1,12,16,204,0.07884265919144345
3377.187290430069,1,13,16,205,0.18747951980784267
3383.2384736537933,1,14,16,206,0.29115054772064747
3387.5922405719757,1,15,16,207,0.062013618774010223
3391.197611808777,1,16,16,208,0.33665016765235833
3395.5110013484955,2,1,16,209,0.22559534897047379
3400.6592288017273,2,2,16,210,0.14723960162718105
3405.02805519104,2,3,16,211,0.080813643096208
3409.6838188171387,2,4,16,212,0.07545962829228858
3414.484811782837,2,5,16,213,0.14520336491004604
3417.729418992996,2,6,16,214,0.08155877361018009
3422.1464631557465,2,7,16,215,0.053146602782792
3426.739109516144,2,8,16,216,0.13824507288681992
3431.904747724533,2,9,16,217,0.11982423905075809
3436.967791080475,2,10,16,218,0.6143240654893457
3441.5923566818237,2,11,16,219,0.224113006138785
3446.8984291553497,2,12,16,220,0.0707520656927941
3451.8766479492188,2,13,16,221,0.15765184153591055
3457.0986070632935,2,14,16,222,0.25350172016010025
3461.4000523090363,2,15,16,223,0.06483250863913712
3466.1826133728027,2,16,16,224,0.3152152848914395
3471.3903272151947,3,1,16,225,0.22876623462754903
3476.2027728557587,3,2,16,226,0.11557564864508775
3480.3944120407104,3,3,16,227,0.08487094304826172
3485.584222316742,3,4,16,228,0.080224406451661
