Time,Epochs,Batches,in,Total,Loss
53.688666343688965,1,1,16,1,0.5142781371004601
63.33870792388916,1,2,16,2,0.18836450934252685
72.65775871276855,1,3,16,3,0.2318270378718913
85.57870626449585,1,4,16,4,2.3591933647113477
96.67023205757141,1,5,16,5,0.26742366977229504
106.19939875602722,1,6,16,6,0.11869133850472605
113.33645677566528,1,7,16,7,0.10319624335886315
119.67058968544006,1,8,16,8,0.13366381019271772
124.88292050361633,1,9,16,9,0.16447549865079453
130.85497212409973,1,10,16,10,0.2736116373995143
135.176029920578,1,11,16,11,0.15179641904638974
141.31171488761902,1,12,16,12,0.19356779385902567
147.2983365058899,1,13,16,13,0.4317861854071847
156.82058572769165,1,14,16,14,1.6159451750388285
165.44484686851501,1,15,16,15,0.28229985974691296
179.28840827941895,1,16,16,16,0.1874706097286325
190.093847990036,2,1,16,17,0.3427951655878925
204.03325986862183,2,2,16,18,0.16074210430200325
214.83186221122742,2,3,16,19,0.16117075822859406
224.87102508544922,2,4,16,20,1.5921195877029846
236.5012023448944,2,5,16,21,0.15521853210970682
248.30367612838745,2,6,16,22,0.06769278841745986
257.3471338748932,2,7,16,23,0.06994877855441524
269.1141448020935,2,8,16,24,0.09234278809887583
279.50837087631226,2,9,16,25,0.10023357160451056
289.35287857055664,2,10,16,26,0.2126748559416936
301.59668374061584,2,11,16,27,0.1021558767023275
311.7740421295166,2,12,16,28,0.1416776763865121
322.7379641532898,2,13,16,29,0.34614908711029096
332.891140460968,2,14,16,30,1.3962294633246806
345.986097574234,2,15,16,31,0.2055534120637737
358.0451090335846,2,16,16,32,0.14329606978000453
369.74167013168335,3,1,16,33,0.27940717683580124
380.9588830471039,3,2,16,34,0.11166771217422611
392.5477933883667,3,3,16,35,0.12167223809899388
401.8093008995056,3,4,16,36,1.2963316550968744
413.59349393844604,3,5,16,37,0.13931895177336082
423.7533059120178,3,6,16,38,0.05347169603070907
435.4149944782257,3,7,16,39,0.0534994294469565
443.1924467086792,3,8,16,40,0.08325917988718523
455.2459545135498,3,9,16,41,0.09618668061961966
467.0835859775543,3,10,16,42,0.16315502012462801
478.08360600471497,3,11,16,43,0.11180916759132006
487.971097946167,3,12,16,44,0.15964895632080783
498.4101221561432,3,13,16,45,0.2894972317368647
510.6932384967804,3,14,16,46,1.191268937946394
522.8587327003479,3,15,16,47,0.19855673969222792
534.1746499538422,3,16,16,48,0.12648694064258953
1270.4023625850677,1,1,16,49,0.2859171876664648
1281.3248517513275,1,2,16,50,0.07653616860284472
1292.9382309913635,1,3,16,51,0.11256548119476428
1301.7979216575623,1,4,16,52,1.3409823444038853
1313.537503004074,1,5,16,53,0.13764060155880323
1325.4100267887115,1,6,16,54,0.04315481931539831
1334.7355370521545,1,7,16,55,0.055481787946205834
1344.9350445270538,1,8,16,56,0.05400460115127843
1355.8608610630035,1,9,16,57,0.08075732556938868
1366.242827653885,1,10,16,58,0.16957652988117883
1376.4528172016144,1,11,16,59,0.09549948352236404
1387.1989073753357,1,12,16,60,0.15437587303537784
1398.275729894638,1,13,16,61,0.286635370581941
1408.2613039016724,1,14,16,62,1.2544237261725752
1419.2134847640991,1,15,16,63,0.19161785433510758
1430.224672794342,1,16,16,64,0.1351648716222701
1441.2350561618805,2,1,16,65,0.259192434412693
1451.2729802131653,2,2,16,66,0.09675844928037217
1462.8186011314392,2,3,16,67,0.08981665847533006
1473.9905002117157,2,4,16,68,1.1677550715872358
1485.6395361423492,2,5,16,69,0.08894425979622946
1496.929324388504,2,6,16,70,0.04646825268931801
1505.3220477104187,2,7,16,71,0.07325316880265206
1515.0809834003448,2,8,16,72,0.05787889002191223
1524.269516468048,2,9,16,73,0.08909185553530266
1531.938705444336,2,10,16,74,0.148623323799072
1538.0069262981415,2,11,16,75,0.06685150283558616
1543.2438025474548,2,12,16,76,0.16120596688452604
1548.1485176086426,2,13,16,77,0.23091696641349563
1553.4582645893097,2,14,16,78,1.0594886458688906
1559.000765800476,2,15,16,79,0.18374013900913022
1563.9125401973724,2,16,16,80,0.14210933520517938
1568.0730497837067,3,1,16,81,0.23822840064410017
1573.3355360031128,3,2,16,82,0.11865247640315879
1577.986445903778,3,3,16,83,0.07791851114729705
1582.8390243053436,3,4,16,84,1.1045605072062028
1588.703773021698,3,5,16,85,0.08220484887698576
1593.1507687568665,3,6,16,86,0.04258948218553363
1597.4617896080017,3,7,16,87,0.06249694844327537
1601.3036284446716,3,8,16,88,0.0551655328022176
1603.5825870037079,3,9,16,89,0.07573665879590036
1605.8666105270386,3,10,16,90,0.149195018878584
1606.8579185009003,3,11,16,91,0.06313328708465135
1608.3413980007172,3,12,16,92,0.15525382946890812
1609.835983991623,3,13,16,93,0.21961682618068545
1612.245245218277,3,14,16,94,1.0026458103162823
1614.4065663814545,3,15,16,95,0.1483515534072992
1615.9259767532349,3,16,16,96,0.12266269110808797
2029.3223114013672,1,1,16,97,0.23591536949894498
2033.933935880661,1,2,16,98,0.10706223965932851
2038.760843038559,1,3,16,99,0.08276464154618157
2043.607505083084,1,4,16,100,1.0519299419508557
2048.3433532714844,1,5,16,101,0.0816145407330721
2052.414881706238,1,6,16,102,0.039822605688099255
2057.5852127075195,1,7,16,103,0.04435335731747085
2062.7970328330994,1,8,16,104,0.04910427931367342
2067.901226758957,1,9,16,105,0.0662497165999501
2072.6879069805145,1,10,16,106,0.1342854376022073
2077.4721369743347,1,11,16,107,0.06137336370337274
2081.54692363739,1,12,16,108,0.1505876634760722
2085.884234905243,1,13,16,109,0.21783909774261298
2089.951636314392,1,14,16,110,0.9665680431930694
2095.1858825683594,1,15,16,111,0.1415862302407118
2099.897891521454,1,16,16,112,0.11494303008335505
2105.124433517456,2,1,16,113,0.22629139433576806
2110.1522266864777,2,2,16,114,0.13928297892880942
2114.7103419303894,2,3,16,115,0.06925262430732719
2119.3667640686035,2,4,16,116,0.898750356104383
2123.6664991378784,2,5,16,117,0.08071914116773901
2128.535078048706,2,6,16,118,0.04168950596886989
2133.963407278061,2,7,16,119,0.04957708190282761
2136.429892539978,2,8,16,120,0.06291128618416125
2141.1122188568115,2,9,16,121,0.06095185305923548
2145.7056872844696,2,10,16,122,0.13396042251549853
2150.377634525299,2,11,16,123,0.05609422381633437
2155.924554824829,2,12,16,124,0.16071505663810273
2160.9473350048065,2,13,16,125,0.19563826249537075
2166.2985558509827,2,14,16,126,0.8624891194035881
2171.431407213211,2,15,16,127,0.15756201435419837
2176.3725967407227,2,16,16,128,0.1004295735444434
2180.876256942749,3,1,16,129,0.19129507398137996
2186.350646018982,3,2,16,130,0.13283735557836668
2191.522266626358,3,3,16,131,0.07094464759503333
2195.841109275818,3,4,16,132,0.8896009767884805
2200.3522267341614,3,5,16,133,0.0655325554505055
2205.350004673004,3,6,16,134,0.03780081424712045
2209.2195370197296,3,7,16,135,0.040567035239776957
2214.508917093277,3,8,16,136,0.05622746158745871
2218.6798367500305,3,9,16,137,0.07219284438902013
2224.4908063411713,3,10,16,138,0.12511335056131448
2229.086664199829,3,11,16,139,0.05304433515740088
2232.7237873077393,3,12,16,140,0.15917736319373194
2237.54185628891,3,13,16,141,0.2093701127639664
2242.646378517151,3,14,16,142,0.9171157468839841
2247.6244497299194,3,15,16,143,0.1454126455503305
2266.641820669174,3,16,16,144,0.10875871633281524
2678.5133004188538,1,1,16,145,0.19397145116824363
2683.3140234947205,1,2,16,146,0.10964685326435468
2688.090851545334,1,3,16,147,0.060015196096484015
2692.9907104969025,1,4,16,148,0.8097232583439717
2697.487515926361,1,5,16,149,0.0656633773674711
2702.0131793022156,1,6,16,150,0.03163600142763459
2706.9810795783997,1,7,16,151,0.035571224221124395
2711.4774215221405,1,8,16,152,0.04638464628899444
2715.8334617614746,1,9,16,153,0.05312268128791893
2720.608650445938,1,10,16,154,0.11993042332583487
2724.553980588913,1,11,16,155,0.05075486202429403
2728.9256098270416,1,12,16,156,0.15544138524540707
2733.512340068817,1,13,16,157,0.18799758644272918
2737.596095561981,1,14,16,158,0.8412916950768635
2741.143557071686,1,15,16,159,0.1386121276038727
2746.647932291031,1,16,16,160,0.10852700830904123
2751.276552915573,2,1,16,161,0.16494369043535478
2755.939637184143,2,2,16,162,0.15465326295629614
2760.845291852951,2,3,16,163,0.059836646866272276
2764.222857236862,2,4,16,164,0.7929433053370232
2768.6289196014404,2,5,16,165,0.07133323436376829
2772.017756462097,2,6,16,166,0.0353426733241483
2777.191304206848,2,7,16,167,0.039202376556660375
2781.923623085022,2,8,16,168,0.05500175656484179
2786.8203163146973,2,9,16,169,0.05536007775008093
2791.5906431674957,2,10,16,170,0.11686151494555594
2796.203871011734,2,11,16,171,0.04565584087951037
2801.1397273540497,2,12,16,172,0.16279327421044154
2806.449227809906,2,13,16,173,0.1765532895558471
2811.192422389984,2,14,16,174,0.779517558481001
2816.0498473644257,2,15,16,175,0.147176493110682
2821.337798833847,2,16,16,176,0.10557214926256563
2824.626917362213,3,1,16,177,0.19186976645200582
2829.0502445697784,3,2,16,178,0.14202343049448649
2834.3440279960632,3,3,16,179,0.05741703470349042
2838.334207057953,3,4,16,180,0.7805901420900344
2842.920809030533,3,5,16,181,0.06059793271345423
2848.3716518878937,3,6,16,182,0.03223002597888554
2853.629849910736,3,7,16,183,0.04071548742800182
2858.573999643326,3,8,16,184,0.06244607627567208
2863.250777721405,3,9,16,185,0.06930213953833546
2867.163782119751,3,10,16,186,0.1337260216793617
2871.975416660309,3,11,16,187,0.050218370365023246
2877.1139771938324,3,12,16,188,0.17525254570913879
2881.956512451172,3,13,16,189,0.16579527307427844
2886.7535676956177,3,14,16,190,0.7461604604275922
2890.650703907013,3,15,16,191,0.1591303794554807
2917.0650458335876,3,16,16,192,0.1031264685006336
3330.6816840171814,1,1,16,193,0.17434251128463663
3335.194807291031,1,2,16,194,0.1996133825382452
3339.5438323020935,1,3,16,195,0.05823557539198876
3344.8388895988464,1,4,16,196,0.7114586795263728
3350.409080505371,1,5,16,197,0.06316577104047144
3355.303410053253,1,6,16,198,0.03572667775930872
3360.0653336048126,1,7,16,199,0.03989529212690064
3364.791253089905,1,8,16,200,0.06242822647006714
3369.983714580536,1,9,16,201,0.06993156949885923
3374.590310573578,1,10,16,202,0.1287159434236681
3379.317812204361,1,11,16,203,0.04941599777448699
3384.660406112671,1,12,16,204,0.18528527337896433
3389.644022464752,1,13,16,205,0.1719266299812242
3394.303124189377,1,14,16,206,0.7516908854447727
3398.974340200424,1,15,16,207,0.10442550334957126
3403.5122878551483,1,16,16,208,0.10593891300113717
3407.8301565647125,2,1,16,209,0.15277403480299692
3412.4998099803925,2,2,16,210,0.1467928419000404
3416.858444213867,2,3,16,211,0.04818034879041177
3421.0231964588165,2,4,16,212,0.7217475259169888
3425.6195497512817,2,5,16,213,0.0516843555909669
3430.04075217247,2,6,16,214,0.03237543094075913
3434.9639365673065,2,7,16,215,0.028063893924407154
3440.043462753296,2,8,16,216,0.04725205960602661
3445.680617570877,2,9,16,217,0.06769936250284732
3450.6366896629333,2,10,16,218,0.11572768699068345
3455.9172723293304,2,11,16,219,0.053008368487663195
3460.998111963272,2,12,16,220,0.19291959586046956
3465.6013553142548,2,13,16,221,0.1612614788586786
3470.7649343013763,2,14,16,222,0.6828355464100585
3475.3227887153625,2,15,16,223,0.10257605028123189
