INFO Fit-5@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-5@16:13:31 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-5@16:13:31 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-5@16:13:31 : Model set to ready.
INFO Fit-5-Epo-1@16:13:41 : Epochs:1, Batches:1, in:16, Total:1, Loss:0.5979
INFO Fit-5-Epo-1@16:13:52 : Epochs:1, Batches:2, in:16, Total:2, Loss:0.5549
INFO Fit-5-Epo-1@16:14:05 : Epochs:1, Batches:3, in:16, Total:3, Loss:0.1065
INFO Fit-5-Epo-1@16:14:16 : Epochs:1, Batches:4, in:16, Total:4, Loss:1.3187
INFO Fit-5-Epo-1@16:14:28 : Epochs:1, Batches:5, in:16, Total:5, Loss:0.2648
INFO Fit-5-Epo-1@16:14:34 : Epochs:1, Batches:6, in:16, Total:6, Loss:0.9452
INFO Fit-5-Epo-1@16:14:41 : Epochs:1, Batches:7, in:16, Total:7, Loss:0.3587
INFO Fit-5-Epo-1@16:14:48 : Epochs:1, Batches:8, in:16, Total:8, Loss:0.1033
INFO Fit-5-Epo-1@16:14:54 : Epochs:1, Batches:9, in:16, Total:9, Loss:0.1095
INFO Fit-5-Epo-1@16:15:01 : Epochs:1, Batches:10, in:16, Total:10, Loss:0.2162
INFO Fit-5-Epo-1@16:15:06 : Epochs:1, Batches:11, in:16, Total:11, Loss:0.1134
INFO Fit-5-Epo-1@16:15:12 : Epochs:1, Batches:12, in:16, Total:12, Loss:0.0742
INFO Fit-5-Epo-1@16:15:19 : Epochs:1, Batches:13, in:16, Total:13, Loss:0.5468
INFO Fit-5-Epo-1@16:15:32 : Epochs:1, Batches:14, in:16, Total:14, Loss:1.3220
INFO Fit-5-Epo-1@16:15:42 : Epochs:1, Batches:15, in:16, Total:15, Loss:0.1593
INFO Fit-5-Epo-1@16:15:54 : Epochs:1, Batches:16, in:16, Total:16, Loss:0.1937
INFO Fit-5-Epo-1@16:16:05 : Epochs:2, Batches:1, in:16, Total:17, Loss:0.4049
INFO Fit-5-Epo-1@16:16:18 : Epochs:2, Batches:2, in:16, Total:18, Loss:0.3968
INFO Fit-5-Epo-1@16:16:28 : Epochs:2, Batches:3, in:16, Total:19, Loss:0.0690
INFO Fit-5-Epo-1@16:16:38 : Epochs:2, Batches:4, in:16, Total:20, Loss:1.0348
INFO Fit-5-Epo-1@16:16:51 : Epochs:2, Batches:5, in:16, Total:21, Loss:0.1730
INFO Fit-5-Epo-1@16:17:01 : Epochs:2, Batches:6, in:16, Total:22, Loss:0.7182
INFO Fit-5-Epo-1@16:17:13 : Epochs:2, Batches:7, in:16, Total:23, Loss:0.2571
INFO Fit-5-Epo-1@16:17:23 : Epochs:2, Batches:8, in:16, Total:24, Loss:0.0607
INFO Fit-5-Epo-1@16:17:34 : Epochs:2, Batches:9, in:16, Total:25, Loss:0.0608
INFO Fit-5-Epo-1@16:17:43 : Epochs:2, Batches:10, in:16, Total:26, Loss:0.1258
INFO Fit-5-Epo-1@16:17:55 : Epochs:2, Batches:11, in:16, Total:27, Loss:0.0745
INFO Fit-5-Epo-1@16:18:06 : Epochs:2, Batches:12, in:16, Total:28, Loss:0.0557
INFO Fit-5-Epo-1@16:18:16 : Epochs:2, Batches:13, in:16, Total:29, Loss:0.4497
INFO Fit-5-Epo-1@16:18:28 : Epochs:2, Batches:14, in:16, Total:30, Loss:1.1781
INFO Fit-5-Epo-1@16:18:37 : Epochs:2, Batches:15, in:16, Total:31, Loss:0.1266
INFO Fit-5-Epo-1@16:18:50 : Epochs:2, Batches:16, in:16, Total:32, Loss:0.1603
INFO Fit-5-Epo-1@16:19:00 : Epochs:3, Batches:1, in:16, Total:33, Loss:0.3658
INFO Fit-5-Epo-1@16:19:13 : Epochs:3, Batches:2, in:16, Total:34, Loss:0.3245
INFO Fit-5-Epo-1@16:19:23 : Epochs:3, Batches:3, in:16, Total:35, Loss:0.0624
INFO Fit-5-Epo-1@16:19:34 : Epochs:3, Batches:4, in:16, Total:36, Loss:0.8621
INFO Fit-5-Epo-1@16:19:46 : Epochs:3, Batches:5, in:16, Total:37, Loss:0.1553
INFO Fit-5-Epo-1@16:19:54 : Epochs:3, Batches:6, in:16, Total:38, Loss:0.5857
INFO Fit-5-Epo-1@16:20:05 : Epochs:3, Batches:7, in:16, Total:39, Loss:0.2043
INFO Fit-5-Epo-1@16:20:15 : Epochs:3, Batches:8, in:16, Total:40, Loss:0.0578
INFO Fit-5-Epo-1@16:20:26 : Epochs:3, Batches:9, in:16, Total:41, Loss:0.0635
INFO Fit-5-Epo-1@16:20:36 : Epochs:3, Batches:10, in:16, Total:42, Loss:0.1072
INFO Fit-5-Epo-1@16:20:46 : Epochs:3, Batches:11, in:16, Total:43, Loss:0.0752
INFO Fit-5-Epo-1@16:20:57 : Epochs:3, Batches:12, in:16, Total:44, Loss:0.0535
INFO Fit-5-Epo-1@16:21:09 : Epochs:3, Batches:13, in:16, Total:45, Loss:0.3998
INFO Fit-5-Epo-1@16:21:20 : Epochs:3, Batches:14, in:16, Total:46, Loss:1.1050
INFO Fit-5-Epo-1@16:21:30 : Epochs:3, Batches:15, in:16, Total:47, Loss:0.0930
INFO Fit-5-Epo-1@16:21:41 : Epochs:3, Batches:16, in:16, Total:48, Loss:0.1415
INFO Fit-5-Epo-1@16:24:08 : Evaluate result: {'Loss': 4.534859837089754}
INFO Fit-5-Epo-2@16:33:23 : Epochs:1, Batches:1, in:16, Total:49, Loss:0.3344
INFO Fit-5-Epo-2@16:33:32 : Epochs:1, Batches:2, in:16, Total:50, Loss:0.3443
INFO Fit-5-Epo-2@16:33:42 : Epochs:1, Batches:3, in:16, Total:51, Loss:0.0527
INFO Fit-5-Epo-2@16:33:50 : Epochs:1, Batches:4, in:16, Total:52, Loss:0.8651
INFO Fit-5-Epo-2@16:34:01 : Epochs:1, Batches:5, in:16, Total:53, Loss:0.1383
INFO Fit-5-Epo-2@16:34:10 : Epochs:1, Batches:6, in:16, Total:54, Loss:0.5832
INFO Fit-5-Epo-2@16:34:22 : Epochs:1, Batches:7, in:16, Total:55, Loss:0.2137
INFO Fit-5-Epo-2@16:34:31 : Epochs:1, Batches:8, in:16, Total:56, Loss:0.0636
INFO Fit-5-Epo-2@16:34:41 : Epochs:1, Batches:9, in:16, Total:57, Loss:0.0712
INFO Fit-5-Epo-2@16:34:49 : Epochs:1, Batches:10, in:16, Total:58, Loss:0.1119
INFO Fit-5-Epo-2@16:34:57 : Epochs:1, Batches:11, in:16, Total:59, Loss:0.0791
INFO Fit-5-Epo-2@16:35:05 : Epochs:1, Batches:12, in:16, Total:60, Loss:0.0467
INFO Fit-5-Epo-2@16:35:14 : Epochs:1, Batches:13, in:16, Total:61, Loss:0.3909
INFO Fit-5-Epo-2@16:35:24 : Epochs:1, Batches:14, in:16, Total:62, Loss:1.0407
INFO Fit-5-Epo-2@16:35:32 : Epochs:1, Batches:15, in:16, Total:63, Loss:0.0917
INFO Fit-5-Epo-2@16:35:41 : Epochs:1, Batches:16, in:16, Total:64, Loss:0.1286
INFO Fit-5-Epo-2@16:35:49 : Epochs:2, Batches:1, in:16, Total:65, Loss:0.3118
INFO Fit-5-Epo-2@16:35:58 : Epochs:2, Batches:2, in:16, Total:66, Loss:0.2915
INFO Fit-5-Epo-2@16:36:06 : Epochs:2, Batches:3, in:16, Total:67, Loss:0.0503
INFO Fit-5-Epo-2@16:36:15 : Epochs:2, Batches:4, in:16, Total:68, Loss:0.7506
INFO Fit-5-Epo-2@16:36:24 : Epochs:2, Batches:5, in:16, Total:69, Loss:0.1434
INFO Fit-5-Epo-2@16:36:32 : Epochs:2, Batches:6, in:16, Total:70, Loss:0.5200
INFO Fit-5-Epo-2@16:36:42 : Epochs:2, Batches:7, in:16, Total:71, Loss:0.1676
INFO Fit-5-Epo-2@16:36:52 : Epochs:2, Batches:8, in:16, Total:72, Loss:0.0474
INFO Fit-5-Epo-2@16:37:01 : Epochs:2, Batches:9, in:16, Total:73, Loss:0.0670
INFO Fit-5-Epo-2@16:37:11 : Epochs:2, Batches:10, in:16, Total:74, Loss:0.0831
INFO Fit-5-Epo-2@16:37:22 : Epochs:2, Batches:11, in:16, Total:75, Loss:0.0702
INFO Fit-5-Epo-2@16:37:28 : Epochs:2, Batches:12, in:16, Total:76, Loss:0.0516
INFO Fit-5-Epo-2@16:37:37 : Epochs:2, Batches:13, in:16, Total:77, Loss:0.3684
INFO Fit-5-Epo-2@16:37:44 : Epochs:2, Batches:14, in:16, Total:78, Loss:0.9499
INFO Fit-5-Epo-2@16:37:50 : Epochs:2, Batches:15, in:16, Total:79, Loss:0.0835
INFO Fit-5-Epo-2@16:38:01 : Epochs:2, Batches:16, in:16, Total:80, Loss:0.1096
INFO Fit-5-Epo-2@16:38:09 : Epochs:3, Batches:1, in:16, Total:81, Loss:0.2861
INFO Fit-5-Epo-2@16:38:16 : Epochs:3, Batches:2, in:16, Total:82, Loss:0.2649
INFO Fit-5-Epo-2@16:38:23 : Epochs:3, Batches:3, in:16, Total:83, Loss:0.0549
INFO Fit-5-Epo-2@16:38:27 : Epochs:3, Batches:4, in:16, Total:84, Loss:0.6891
INFO Fit-5-Epo-2@16:38:33 : Epochs:3, Batches:5, in:16, Total:85, Loss:0.1397
INFO Fit-5-Epo-2@16:38:39 : Epochs:3, Batches:6, in:16, Total:86, Loss:0.5184
INFO Fit-5-Epo-2@16:38:43 : Epochs:3, Batches:7, in:16, Total:87, Loss:0.1543
INFO Fit-5-Epo-2@16:38:47 : Epochs:3, Batches:8, in:16, Total:88, Loss:0.0419
INFO Fit-5-Epo-2@16:38:52 : Epochs:3, Batches:9, in:16, Total:89, Loss:0.0543
INFO Fit-5-Epo-2@16:38:58 : Epochs:3, Batches:10, in:16, Total:90, Loss:0.0863
INFO Fit-5-Epo-2@16:39:02 : Epochs:3, Batches:11, in:16, Total:91, Loss:0.0646
INFO Fit-5-Epo-2@16:39:07 : Epochs:3, Batches:12, in:16, Total:92, Loss:0.0423
INFO Fit-5-Epo-2@16:39:11 : Epochs:3, Batches:13, in:16, Total:93, Loss:0.3375
INFO Fit-5-Epo-2@16:39:16 : Epochs:3, Batches:14, in:16, Total:94, Loss:0.9280
INFO Fit-5-Epo-2@16:39:20 : Epochs:3, Batches:15, in:16, Total:95, Loss:0.0774
INFO Fit-5-Epo-2@16:39:42 : Epochs:3, Batches:16, in:16, Total:96, Loss:0.1079
INFO Fit-5-Epo-2@16:41:11 : Evaluate result: {'Loss': 4.318893161493915}
INFO Fit-5-Epo-3@16:46:41 : Epochs:1, Batches:1, in:16, Total:97, Loss:0.3054
INFO Fit-5-Epo-3@16:46:47 : Epochs:1, Batches:2, in:16, Total:98, Loss:0.2481
INFO Fit-5-Epo-3@16:46:51 : Epochs:1, Batches:3, in:16, Total:99, Loss:0.0593
INFO Fit-5-Epo-3@16:46:56 : Epochs:1, Batches:4, in:16, Total:100, Loss:0.6064
INFO Fit-5-Epo-3@16:47:01 : Epochs:1, Batches:5, in:16, Total:101, Loss:0.1320
INFO Fit-5-Epo-3@16:47:06 : Epochs:1, Batches:6, in:16, Total:102, Loss:0.4549
INFO Fit-5-Epo-3@16:47:11 : Epochs:1, Batches:7, in:16, Total:103, Loss:0.1526
INFO Fit-5-Epo-3@16:47:16 : Epochs:1, Batches:8, in:16, Total:104, Loss:0.0454
INFO Fit-5-Epo-3@16:47:21 : Epochs:1, Batches:9, in:16, Total:105, Loss:0.0726
INFO Fit-5-Epo-3@16:47:26 : Epochs:1, Batches:10, in:16, Total:106, Loss:0.0867
INFO Fit-5-Epo-3@16:47:31 : Epochs:1, Batches:11, in:16, Total:107, Loss:0.0776
INFO Fit-5-Epo-3@16:47:36 : Epochs:1, Batches:12, in:16, Total:108, Loss:0.0594
INFO Fit-5-Epo-3@16:47:41 : Epochs:1, Batches:13, in:16, Total:109, Loss:0.3429
INFO Fit-5-Epo-3@16:47:46 : Epochs:1, Batches:14, in:16, Total:110, Loss:0.9172
INFO Fit-5-Epo-3@16:47:51 : Epochs:1, Batches:15, in:16, Total:111, Loss:0.0801
INFO Fit-5-Epo-3@16:47:56 : Epochs:1, Batches:16, in:16, Total:112, Loss:0.1284
INFO Fit-5-Epo-3@16:48:01 : Epochs:2, Batches:1, in:16, Total:113, Loss:0.2926
INFO Fit-5-Epo-3@16:48:06 : Epochs:2, Batches:2, in:16, Total:114, Loss:0.2408
INFO Fit-5-Epo-3@16:48:12 : Epochs:2, Batches:3, in:16, Total:115, Loss:0.0583
INFO Fit-5-Epo-3@16:48:17 : Epochs:2, Batches:4, in:16, Total:116, Loss:0.6024
INFO Fit-5-Epo-3@16:48:21 : Epochs:2, Batches:5, in:16, Total:117, Loss:0.1309
INFO Fit-5-Epo-3@16:48:26 : Epochs:2, Batches:6, in:16, Total:118, Loss:0.4892
INFO Fit-5-Epo-3@16:48:31 : Epochs:2, Batches:7, in:16, Total:119, Loss:0.1392
INFO Fit-5-Epo-3@16:48:37 : Epochs:2, Batches:8, in:16, Total:120, Loss:0.0435
INFO Fit-5-Epo-3@16:48:42 : Epochs:2, Batches:9, in:16, Total:121, Loss:0.0624
INFO Fit-5-Epo-3@16:48:48 : Epochs:2, Batches:10, in:16, Total:122, Loss:0.0895
INFO Fit-5-Epo-3@16:48:53 : Epochs:2, Batches:11, in:16, Total:123, Loss:0.0661
INFO Fit-5-Epo-3@16:48:59 : Epochs:2, Batches:12, in:16, Total:124, Loss:0.0636
INFO Fit-5-Epo-3@16:49:04 : Epochs:2, Batches:13, in:16, Total:125, Loss:0.3127
INFO Fit-5-Epo-3@16:49:10 : Epochs:2, Batches:14, in:16, Total:126, Loss:0.8883
INFO Fit-5-Epo-3@16:49:15 : Epochs:2, Batches:15, in:16, Total:127, Loss:0.0814
INFO Fit-5-Epo-3@16:49:21 : Epochs:2, Batches:16, in:16, Total:128, Loss:0.1142
INFO Fit-5-Epo-3@16:49:27 : Epochs:3, Batches:1, in:16, Total:129, Loss:0.2663
INFO Fit-5-Epo-3@16:49:33 : Epochs:3, Batches:2, in:16, Total:130, Loss:0.2016
INFO Fit-5-Epo-3@16:49:39 : Epochs:3, Batches:3, in:16, Total:131, Loss:0.0517
INFO Fit-5-Epo-3@16:49:43 : Epochs:3, Batches:4, in:16, Total:132, Loss:0.5838
INFO Fit-5-Epo-3@16:49:49 : Epochs:3, Batches:5, in:16, Total:133, Loss:0.1234
INFO Fit-5-Epo-3@16:49:54 : Epochs:3, Batches:6, in:16, Total:134, Loss:0.4269
INFO Fit-5-Epo-3@16:50:01 : Epochs:3, Batches:7, in:16, Total:135, Loss:0.1172
INFO Fit-5-Epo-3@16:50:07 : Epochs:3, Batches:8, in:16, Total:136, Loss:0.0434
INFO Fit-5-Epo-3@16:50:12 : Epochs:3, Batches:9, in:16, Total:137, Loss:0.0575
INFO Fit-5-Epo-3@16:50:17 : Epochs:3, Batches:10, in:16, Total:138, Loss:0.0658
INFO Fit-5-Epo-3@16:50:21 : Epochs:3, Batches:11, in:16, Total:139, Loss:0.0605
